percent chance LLLHH, stock
225.0,AER
100.0,ABR
90.9090909090909,AFGC
87.5,ABG
84.61538461538461,AB
71.42857142857143,ACEL
70.0,AEO
66.66666666666666,AGM-A
66.66666666666666,AEM
66.66666666666666,AGCO
64.28571428571429,AFG
63.63636363636363,AGM
62.5,AGR
61.53846153846154,AGD
58.333333333333336,AFL
58.333333333333336,ADX
57.14285714285714,ACA
55.55555555555556,AEFC
54.54545454545454,ACP
54.54545454545454,ACN
54.54545454545454,ABB
53.333333333333336,AGO
50.0,ACV
50.0,ADC
50.0,ACC
50.0,AAT
46.15384615384615,AEL
45.45454545454545,ADM
44.44444444444444,ADNT
43.75,ACB
42.857142857142854,AEP
42.857142857142854,AGX
42.857142857142854,ADS
41.66666666666667,A
41.66666666666667,ACCO
41.17647058823529,ACRE
40.0,AEG
38.88888888888889,AA
36.84210526315789,ABC
35.714285714285715,ABM
35.714285714285715,AAP
35.714285714285715,AES
35.714285714285715,AHT
35.294117647058826,ABEV
33.33333333333333,AGRO
33.33333333333333,AFT
33.33333333333333,AEE
31.818181818181817,ADT
31.818181818181817,AHH
31.25,ACH
30.0,AG
27.77777777777778,ABBV
27.27272727272727,ABT
26.923076923076923,AC
26.31578947368421,AGI
25.0,AGS
25.0,ACM
17.647058823529413,AFI
0.0,AFB
