uptrend stock,up percent,downtrend stock,down percent
AC,0.6067961052682357,ACM,0.04089813213487522
ACV,0.30907729665621797,AFGB,0.07426831614193449
AEG,0.21141124744934967,AI,0.026615582073238123
ACCO,0.11494516208133834,AEL,0.027268637260772825
ABR,0.11049976432126367,ACH,0.22762280691091147
ACRE,0.06447600731310166,AFB,0.06662377567852243
AGI,0.0621132213968497,,
AAT,0.05289726801702842,ABG,0.18474228424068112
ABM,0.02058114688421381,ACEL,0.03828571424398712
ABBV,0.017290655255142055,ACB,0.0014874472970378163
AER,0.01589154186321237,,
ADM,0.015058922773571005,AFL,0.01790572166341013
ACN,0.01101253681975745,AEM,0.02833281080001784
AGM,0.00782089004472881,,
AFG,0.007080268189749458,,
AFGC,0.0,,
AFT,0.0,,
AA,0.0,AAP,0.00862885403223848
AGD,0.0,,
AGO,0.0,,
AGR,0.0,,
AHH,0.0,,
AES,0.0,,
ADT,0.0,AG,0.03968344674236217
AEO,0.0,,
AEFC,0.0,AGX,0.07083537279276744
AEE,0.0,AGS,0.13550445429218694
ADX,0.0,AGCO,0.024790330358892994
AAN,0.0,ABC,0.016516076624265113
ADC,0.0,AFI,0.904976496891065
ACP,0.0,AEP,0.011864929855729331
ACC,0.0,ADS,0.10780465172034571
ACA,0.0,ADNT,0.0424187849764848
AB,0.0,ABT,0.015970199680486373
AHT,0.0,,
